learning_rate,m,n,mu,rho,alpha,num_iters,train_loss,test_loss,best_train_loss,best_test_loss,train_corr,test_corr,best_train_corr,best_test_corr,model
0.01,103,103,0.16673333333333334,0.16673333333333334,1.8,40000,0.03307158127427101,0.050731111317873,0.03307158127427101,0.04874707758426666,0.9803413378108768,0.4428477498140425,0.9803413378108768,0.5528158266129604,rf
0.01,103,103,0.16673333333333334,0.11118888888888888,1.8,40000,0.033072758466005325,0.050730034708976746,0.033072758466005325,0.04873989149928093,0.980344663304342,0.4428506784128254,0.980344663304342,0.5518367774627629,rf
0.01,103,103,0.16673333333333334,0.05564444444444444,1.8,40000,0.03307702764868736,0.05072823911905289,0.03307702764868736,0.04882797226309776,0.9803362579779268,0.44292878813170017,0.9803362579779268,0.5449585858411373,rf
0.01,103,103,0.16673333333333334,0.0001,1.8,40000,0.03355284035205841,0.0506373941898346,0.03355284035205841,0.049221687018871314,0.9761847025593476,0.4445009264737481,0.9761847025593476,0.5208384184773217,rf
0.01,103,103,0.11118888888888888,0.5,1.8,40000,0.02787907607853413,0.050239015370607376,0.02787907607853413,0.04776784032583237,0.9871917512014301,0.4534713156468696,0.9871917512014301,0.5583892145679805,rf
0.01,103,103,0.11118888888888888,0.4444555555555556,1.8,40000,0.027880964800715446,0.05023831874132157,0.027880964800715446,0.047730445861816406,0.9871771628478028,0.4535137958068132,0.9871771628478028,0.5607428883713058,rf
0.01,103,103,0.11118888888888888,0.3889111111111111,1.8,40000,0.02788364700973034,0.05023735389113426,0.02788364700973034,0.04767860472202301,0.987157130726011,0.4535700226351775,0.987157130726011,0.5634213143403195,rf
0.01,103,103,0.11118888888888888,0.3333666666666667,1.8,40000,0.02788657136261463,0.050236552953720086,0.02788657136261463,0.04762225598096848,0.987137771129703,0.4536022849327733,0.987137771129703,0.5660674154000507,rf
0.01,103,103,0.11118888888888888,0.2778222222222222,1.8,40000,0.0278879888355732,0.05023353174328804,0.0278879888355732,0.047571476548910134,0.9871320488586354,0.4537739403605925,0.9871320488586354,0.5682666915137448,rf
0.01,103,103,0.11118888888888888,0.2222777777777778,1.8,40000,0.027887603268027302,0.05023253336548805,0.027887603268027302,0.04753084108233452,0.9871335552309636,0.4538211062477274,0.9871335552309636,0.5701319336550068,rf
0.01,103,103,0.11118888888888888,0.16673333333333334,1.8,40000,0.027890579774975777,0.05023356899619103,0.027890579774975777,0.047496873885393136,0.987123004374318,0.4537360329989111,0.987123004374318,0.5719036348598372,rf
